ï..Taxon,TPLName,Family,Reference,Year,Country,Population,Latitude,Longitude,Dry_storage,Setting,Sterilization,Nutrients,Substrate,Container_type,Container_size,Container_number,Number_per_container,Incubation_days,Scarification,Stratification_days,Stratification_temperature,Stratification_type,Stratification,Light,Photoperiod,Alternating,Tdif,Tmax,Tmin,Tmean,Temperature,Germinated,Number_seeds
Zanthoxylum schinifolium,Zanthoxylum schinifolium,Rutaceae,"Ahn, S.-Y., et al. (2014). ""Effect of Pre-treatment Methods and Germination Promoter on the Seed Emergence of Zanthoxylum schinifolium."" Journal of Agriculture & Life Science 48(5): 9-17.",2013,South Korea,"Jirisan Fue, South Korea",35.333333333333336,127.71666666666667,Y,Incubator,,,Filter paper,Petri,9 cm,3,100,16,Y,240,4,Cold,Y,NA,NA,N,0,25,25,25,25,132,300
Zanthoxylum schinifolium,Zanthoxylum schinifolium,Rutaceae,"Ahn, S.-Y., et al. (2014). ""Effect of Pre-treatment Methods and Germination Promoter on the Seed Emergence of Zanthoxylum schinifolium."" Journal of Agriculture & Life Science 48(5): 9-17.",2013,South Korea,"Jirisan Fue, South Korea",35.333333333333336,127.71666666666667,Y,Incubator,,,Filter paper,Petri,9 cm,3,100,16,N,240,4,Cold,Y,NA,NA,N,0,20,20,20,20,36,300
Betula pendula,Betula pendula,Betulaceae,"Ahola, V. and K. Leinonen (1999). ""Responses of Betula pendula, Picea abies, and Pinus sylvestris seeds to red/far-red ratios as affected by moist chilling and germination temperature."" Canadian Journal of Forest Research 29(11): 1709-1717.",1993,Finland,"Seed orchard No. 379, Patama, Finland",62.75,25.633333333333333,Y,Incubator,,,Filter paper,Petri,5.5 cm,1,50,37,N,0,None,None,N,Y,24,N,0,10,10,10,10,10,50
Pinus sylvestris,Pinus sylvestris,Pinaceae,"Ahola, V. and K. Leinonen (1999). ""Responses of Betula pendula, Picea abies, and Pinus sylvestris seeds to red/far-red ratios as affected by moist chilling and germination temperature."" Canadian Journal of Forest Research 29(11): 1709-1717.",1993,Finland,"Seed orchard No. 249, MetsÃ¤vÃ¤Ã¤rÃ¤, Finland",61.56666666666667,26.3,Y,Incubator,,,Filter paper,Petri,5.5 cm,1,50,37,N,0,None,None,N,Y,24,N,0,20,20,20,20,48,50
Picea abies,Picea abies,Pinaceae,"Ahola, V. and K. Leinonen (1999). ""Responses of Betula pendula, Picea abies, and Pinus sylvestris seeds to red/far-red ratios as affected by moist chilling and germination temperature."" Canadian Journal of Forest Research 29(11): 1709-1717.",1993,Finland,"Seed orchard No. 172, PalvaanjÃ¤rvi, Finland",60.85,27.483333333333334,Y,Incubator,,,Filter paper,Petri,5.5 cm,1,50,37,N,0,None,None,N,Y,24,N,0,10,10,10,10,48,50
Betula pendula,Betula pendula,Betulaceae,"Ahola, V. and K. Leinonen (1999). ""Responses of Betula pendula, Picea abies, and Pinus sylvestris seeds to red/far-red ratios as affected by moist chilling and germination temperature."" Canadian Journal of Forest Research 29(11): 1709-1717.",1993,Finland,"Seed orchard No. 379, Patama, Finland",62.75,25.633333333333333,Y,Incubator,,,Filter paper,Petri,5.5 cm,1,50,37,N,22,3,Cold,Y,Y,24,N,0,13,13,13,15,50,50
Betula pendula,Betula pendula,Betulaceae,"Ahola, V. and K. Leinonen (1999). ""Responses of Betula pendula, Picea abies, and Pinus sylvestris seeds to red/far-red ratios as affected by moist chilling and germination temperature."" Canadian Journal of Forest Research 29(11): 1709-1717.",1993,Finland,"Seed orchard No. 379, Patama, Finland",62.75,25.633333333333333,Y,Incubator,,,Filter paper,Petri,5.5 cm,1,50,37,N,0,None,None,N,Y,24,N,0,16,16,16,15,48,50
Picea abies,Picea abies,Pinaceae,"Ahola, V. and K. Leinonen (1999). ""Responses of Betula pendula, Picea abies, and Pinus sylvestris seeds to red/far-red ratios as affected by moist chilling and germination temperature."" Canadian Journal of Forest Research 29(11): 1709-1717.",1993,Finland,"Seed orchard No. 172, PalvaanjÃ¤rvi, Finland",60.85,27.483333333333334,Y,Incubator,,,Filter paper,Petri,5.5 cm,1,50,37,N,22,3,Cold,Y,Y,24,N,0,10,10,10,10,48,50
Picea abies,Picea abies,Pinaceae,"Ahola, V. and K. Leinonen (1999). ""Responses of Betula pendula, Picea abies, and Pinus sylvestris seeds to red/far-red ratios as affected by moist chilling and germination temperature."" Canadian Journal of Forest Research 29(11): 1709-1717.",1993,Finland,"Seed orchard No. 172, PalvaanjÃ¤rvi, Finland",60.85,27.483333333333334,Y,Incubator,,,Filter paper,Petri,5.5 cm,1,50,37,N,0,None,None,N,Y,24,N,0,13,13,13,15,48,50
Betula pendula,Betula pendula,Betulaceae,"Ahola, V. and K. Leinonen (1999). ""Responses of Betula pendula, Picea abies, and Pinus sylvestris seeds to red/far-red ratios as affected by moist chilling and germination temperature."" Canadian Journal of Forest Research 29(11): 1709-1717.",1993,Finland,"Seed orchard No. 379, Patama, Finland",62.75,25.633333333333333,Y,Incubator,,,Filter paper,Petri,5.5 cm,1,50,37,N,0,None,None,N,Y,24,N,0,13,13,13,15,48,50
Picea abies,Picea abies,Pinaceae,"Ahola, V. and K. Leinonen (1999). ""Responses of Betula pendula, Picea abies, and Pinus sylvestris seeds to red/far-red ratios as affected by moist chilling and germination temperature."" Canadian Journal of Forest Research 29(11): 1709-1717.",1993,Finland,"Seed orchard No. 172, PalvaanjÃ¤rvi, Finland",60.85,27.483333333333334,Y,Incubator,,,Filter paper,Petri,5.5 cm,1,50,37,N,0,None,None,N,Y,24,N,0,20,20,20,20,48,50
